"category","full_name","prize_year","age"
"Chemistry","Paul J. Flory",1974,64
"Economics","Gunnar Myrdal",1974,76
"Economics","Friedrich August von Hayek",1974,75
"Literature","Eyvind Johnson",1974,74
"Literature","Harry Martinson",1974,70
"Medicine","Albert Claude",1974,76
"Medicine","Christian de Duve",1974,57
"Medicine","Christian de Duve",1974,57
"Medicine","George E. Palade",1974,62
"Peace","Seán MacBride",1974,70
"Peace","Eisaku Sato",1974,73
"Physics","Sir Martin Ryle",1974,56
"Physics","Antony Hewish",1974,50
"Chemistry","John Warcup Cornforth",1975,58
"Chemistry","Vladimir Prelog",1975,69
"Economics","Leonid Vitaliyevich Kantorovich",1975,63
"Economics","Tjalling C. Koopmans",1975,65
"Literature","Eugenio Montale",1975,79
"Medicine","David Baltimore",1975,37
"Medicine","Renato Dulbecco",1975,61
"Medicine","Howard Martin Temin",1975,41
"Peace","Andrei Dmitrievich Sakharov",1975,54
"Physics","Aage Niels Bohr",1975,53
"Physics","Ben Roy Mottelson",1975,49
"Physics","Leo James Rainwater",1975,58
"Chemistry","William N. Lipscomb",1976,57
"Economics","Milton Friedman",1976,64
"Literature","Saul Bellow",1976,61
"Medicine","Baruch S. Blumberg",1976,51
"Medicine","D. Carleton Gajdusek",1976,53
"Peace","Betty Williams",1976,33
"Peace","Mairead Corrigan",1976,32
"Physics","Burton Richter",1976,45
"Physics","Samuel Chao Chung Ting",1976,40
"Chemistry","Ilya Prigogine",1977,60
"Chemistry","Ilya Prigogine",1977,60
"Economics","Bertil Ohlin",1977,78
"Economics","James E. Meade",1977,70
"Literature","Vicente Aleixandre",1977,79
"Medicine","Roger Guillemin",1977,53
"Medicine","Andrew V. Schally",1977,51
"Medicine","Rosalyn Yalow",1977,56
"Peace","Amnesty International",1977,NA
"Physics","Philip Warren Anderson",1977,54
"Physics","Sir Nevill Francis Mott",1977,72
"Physics","John Hasbrouck van Vleck",1977,78
"Chemistry","Peter D. Mitchell",1978,58
"Economics","Herbert A. Simon",1978,62
"Literature","Isaac Bashevis Singer",1978,74
"Medicine","Werner Arber",1978,49
"Medicine","Daniel Nathans",1978,50
"Medicine","Hamilton O. Smith",1978,47
"Peace","Mohamed Anwar al-Sadat",1978,60
"Peace","Menachem Begin",1978,65
"Physics","Pyotr Leonidovich Kapitsa",1978,84
"Physics","Arno Allan Penzias",1978,45
"Physics","Robert Woodrow Wilson",1978,42
"Chemistry","Herbert C. Brown",1979,67
"Chemistry","Georg Wittig",1979,82
"Economics","Theodore W. Schultz",1979,77
"Economics","Sir Arthur Lewis",1979,64
"Literature","Odysseus Elytis",1979,68
"Medicine","Allan M. Cormack",1979,55
"Medicine","Godfrey N. Hounsfield",1979,60
"Peace","Mother Teresa",1979,69
"Physics","Sheldon Lee Glashow",1979,47
"Physics","Abdus Salam",1979,53
"Physics","Abdus Salam",1979,53
"Physics","Steven Weinberg",1979,46
"Chemistry","Frederick Sanger",1980,62
"Chemistry","Paul Berg",1980,54
"Chemistry","Walter Gilbert",1980,48
"Economics","Lawrence R. Klein",1980,60
"Literature","Czeslaw Milosz",1980,69
"Medicine","Baruj Benacerraf",1980,60
"Medicine","Jean Dausset",1980,64
"Medicine","George D. Snell",1980,77
"Peace","Adolfo Pérez Esquivel",1980,49
"Physics","James Watson Cronin",1980,49
"Physics","Val Logsdon Fitch",1980,57
"Chemistry","Kenichi Fukui",1981,63
"Chemistry","Roald Hoffmann",1981,44
"Economics","James Tobin",1981,63
"Literature","Elias Canetti",1981,76
"Medicine","Roger W. Sperry",1981,68
"Medicine","David H. Hubel",1981,55
"Medicine","Torsten N. Wiesel",1981,57
"Peace","Office of the United Nations High Commissioner for Refugees (UNHCR)",1981,NA
"Physics","Nicolaas Bloembergen",1981,61
"Physics","Arthur Leonard Schawlow",1981,60
"Physics","Kai M. Siegbahn",1981,63
"Chemistry","Aaron Klug",1982,56
"Economics","George J. Stigler",1982,71
"Literature","Gabriel García Márquez",1982,55
"Medicine","Sune K. Bergström",1982,66
"Medicine","Bengt I. Samuelsson",1982,48
"Medicine","John R. Vane",1982,55
"Peace","Alva Myrdal",1982,80
"Peace","Alfonso García Robles",1982,71
"Physics","Kenneth G. Wilson",1982,46
"Chemistry","Henry Taube",1983,68
"Economics","Gerard Debreu",1983,62
"Literature","William Golding",1983,72
"Medicine","Barbara McClintock",1983,81
"Peace","Lech Walesa",1983,40
"Physics","Subramanyan Chandrasekhar",1983,73
"Physics","William Alfred Fowler",1983,72
"Chemistry","Robert Bruce Merrifield",1984,63
"Economics","Richard Stone",1984,71
"Literature","Jaroslav Seifert",1984,83
"Medicine","Niels K. Jerne",1984,73
"Medicine","Georges J.F. Köhler",1984,38
"Medicine","César Milstein",1984,57
"Peace","Desmond Mpilo Tutu",1984,53
"Physics","Carlo Rubbia",1984,50
"Physics","Simon van der Meer",1984,59
"Chemistry","Herbert A. Hauptman",1985,68
"Chemistry","Jerome Karle",1985,67
"Economics","Franco Modigliani",1985,67
"Literature","Claude Simon",1985,72
"Medicine","Michael S. Brown",1985,44
"Medicine","Joseph L. Goldstein",1985,45
"Peace","International Physicians for the Prevention of Nuclear War",1985,NA
"Physics","Klaus von Klitzing",1985,42
"Chemistry","Dudley R. Herschbach",1986,54
"Chemistry","Yuan T. Lee",1986,50
"Chemistry","John C. Polanyi",1986,57
"Economics","James M. Buchanan Jr.",1986,67
"Literature","Wole Soyinka",1986,52
"Medicine","Stanley Cohen",1986,64
"Medicine","Rita Levi-Montalcini",1986,77
"Peace","Elie Wiesel",1986,58
"Physics","Ernst Ruska",1986,80
"Physics","Gerd Binnig",1986,39
"Physics","Heinrich Rohrer",1986,53
"Chemistry","Donald J. Cram",1987,68
"Chemistry","Jean-Marie Lehn",1987,48
"Chemistry","Jean-Marie Lehn",1987,48
"Chemistry","Charles J. Pedersen",1987,83
"Economics","Robert M. Solow",1987,63
"Literature","Joseph Brodsky",1987,47
"Medicine","Susumu Tonegawa",1987,48
"Peace","Oscar Arias Sánchez",1987,46
"Physics","J. Georg Bednorz",1987,37
"Physics","K. Alexander Müller",1987,60
"Chemistry","Johann Deisenhofer",1988,45
"Chemistry","Johann Deisenhofer",1988,45
"Chemistry","Robert Huber",1988,51
"Chemistry","Hartmut Michel",1988,40
"Economics","Maurice Allais",1988,77
"Literature","Naguib Mahfouz",1988,77
"Medicine","Sir James W. Black",1988,64
"Medicine","Gertrude B. Elion",1988,70
"Medicine","George H. Hitchings",1988,83
"Peace","United Nations Peacekeeping Forces",1988,NA
"Physics","Leon M. Lederman",1988,66
"Physics","Melvin Schwartz",1988,56
"Physics","Jack Steinberger",1988,67
"Chemistry","Sidney Altman",1989,50
"Chemistry","Thomas R. Cech",1989,42
"Economics","Trygve Haavelmo",1989,78
"Literature","Camilo José Cela",1989,73
"Medicine","J. Michael Bishop",1989,53
"Medicine","Harold E. Varmus",1989,50
"Peace","The 14th Dalai Lama (Tenzin Gyatso)",1989,54
"Physics","Norman F. Ramsey",1989,74
"Physics","Hans G. Dehmelt",1989,67
"Physics","Wolfgang Paul",1989,76
"Chemistry","Elias James Corey",1990,62
"Economics","Harry M. Markowitz",1990,63
"Economics","Merton H. Miller",1990,67
"Economics","William F. Sharpe",1990,56
"Literature","Octavio Paz",1990,76
"Medicine","Joseph E. Murray",1990,71
"Medicine","E. Donnall Thomas",1990,70
"Peace","Mikhail Sergeyevich Gorbachev",1990,59
"Physics","Jerome I. Friedman",1990,60
"Physics","Henry W. Kendall",1990,64
"Physics","Richard E. Taylor",1990,61
"Chemistry","Richard R. Ernst",1991,58
"Economics","Ronald H. Coase",1991,81
"Literature","Nadine Gordimer",1991,68
"Medicine","Erwin Neher",1991,47
"Medicine","Bert Sakmann",1991,49
"Peace","Aung San Suu Kyi",1991,46
"Physics","Pierre-Gilles de Gennes",1991,59
"Chemistry","Rudolph A. Marcus",1992,69
"Economics","Gary S. Becker",1992,62
"Literature","Derek Walcott",1992,62
"Medicine","Edmond H. Fischer",1992,72
"Medicine","Edwin G. Krebs",1992,74
"Peace","Rigoberta Menchú Tum",1992,33
"Physics","Georges Charpak",1992,68
"Physics","Georges Charpak",1992,68
"Chemistry","Kary B. Mullis",1993,49
"Chemistry","Michael Smith",1993,61
"Economics","Robert W. Fogel",1993,66
"Economics","Douglass C. North",1993,73
"Literature","Toni Morrison",1993,62
"Medicine","Richard J. Roberts",1993,50
"Medicine","Phillip A. Sharp",1993,49
"Peace","Nelson Mandela",1993,75
"Peace","Frederik Willem de Klerk",1993,57
"Physics","Russell A. Hulse",1993,43
"Physics","Joseph H. Taylor Jr.",1993,52
"Chemistry","George A. Olah",1994,67
"Economics","John C. Harsanyi",1994,74
"Economics","John F. Nash Jr.",1994,66
"Economics","Reinhard Selten",1994,64
"Literature","Kenzaburo Oe",1994,59
"Medicine","Alfred G. Gilman",1994,53
"Medicine","Martin Rodbell",1994,69
"Peace","Yasser Arafat",1994,65
"Peace","Shimon Peres",1994,71
"Peace","Yitzhak Rabin",1994,72
"Physics","Bertram N. Brockhouse",1994,76
"Physics","Clifford G. Shull",1994,79
"Chemistry","Paul J. Crutzen",1995,62
"Chemistry","Mario J. Molina",1995,52
"Chemistry","F. Sherwood Rowland",1995,68
"Economics","Robert E. Lucas Jr.",1995,58
"Literature","Seamus Heaney",1995,56
"Medicine","Edward B. Lewis",1995,77
"Medicine","Christiane Nüsslein-Volhard",1995,53
"Medicine","Eric F. Wieschaus",1995,48
"Peace","Joseph Rotblat",1995,87
"Peace","Pugwash Conferences on Science and World Affairs",1995,NA
"Physics","Martin L. Perl",1995,68
"Physics","Frederick Reines",1995,77
"Chemistry","Robert F. Curl Jr.",1996,63
"Chemistry","Sir Harold W. Kroto",1996,57
"Chemistry","Richard E. Smalley",1996,53
"Economics","James A. Mirrlees",1996,60
"Economics","William Vickrey",1996,82
"Literature","Wislawa Szymborska",1996,73
"Medicine","Peter C. Doherty",1996,56
"Medicine","Rolf M. Zinkernagel",1996,52
"Peace","Carlos Filipe Ximenes Belo",1996,48
"Peace","José Ramos-Horta",1996,47
"Physics","David M. Lee",1996,65
"Physics","Douglas D. Osheroff",1996,51
"Physics","Robert C. Richardson",1996,59
"Chemistry","Paul D. Boyer",1997,79
"Chemistry","John E. Walker",1997,56
"Chemistry","Jens C. Skou",1997,79
"Economics","Robert C. Merton",1997,53
"Economics","Myron S. Scholes",1997,56
"Literature","Dario Fo",1997,71
"Medicine","Stanley B. Prusiner",1997,55
"Peace","International Campaign to Ban Landmines (ICBL)",1997,NA
"Peace","Jody Williams",1997,47
"Physics","Steven Chu",1997,49
"Physics","Claude Cohen-Tannoudji",1997,64
"Physics","Claude Cohen-Tannoudji",1997,64
"Physics","William D. Phillips",1997,49
"Chemistry","Walter Kohn",1998,75
"Chemistry","John A. Pople",1998,73
"Economics","Amartya Sen",1998,65
"Literature","José Saramago",1998,76
"Medicine","Robert F. Furchgott",1998,82
"Medicine","Louis J. Ignarro",1998,57
"Medicine","Ferid Murad",1998,62
"Peace","John Hume",1998,61
"Peace","David Trimble",1998,54
"Physics","Robert B. Laughlin",1998,48
"Physics","Horst L. Störmer",1998,49
"Physics","Daniel C. Tsui",1998,59
"Chemistry","Ahmed H. Zewail",1999,53
"Economics","Robert A. Mundell",1999,67
"Literature","Günter Grass",1999,72
"Medicine","Günter Blobel",1999,63
"Medicine","Günter Blobel",1999,63
"Peace","Médecins Sans Frontières",1999,NA
"Physics","Gerardus 't Hooft",1999,53
"Physics","Martinus J.G. Veltman",1999,68
"Chemistry","Alan J. Heeger",2000,64
"Chemistry","Alan G. MacDiarmid",2000,73
"Chemistry","Hideki Shirakawa",2000,64
"Economics","James J. Heckman",2000,56
"Economics","Daniel L. McFadden",2000,63
"Literature","Gao Xingjian",2000,60
"Medicine","Arvid Carlsson",2000,77
"Medicine","Paul Greengard",2000,75
"Medicine","Eric R. Kandel",2000,71
"Peace","Kim Dae-jung",2000,75
"Physics","Zhores I. Alferov",2000,70
"Physics","Herbert Kroemer",2000,72
"Physics","Jack S. Kilby",2000,77
"Chemistry","William S. Knowles",2001,84
"Chemistry","Ryoji Noyori",2001,63
"Chemistry","K. Barry Sharpless",2001,60
"Economics","George A. Akerlof",2001,61
"Economics","A. Michael Spence",2001,NA
"Economics","Joseph E. Stiglitz",2001,58
"Literature","Sir Vidiadhar Surajprasad Naipaul",2001,69
"Medicine","Leland H. Hartwell",2001,62
"Medicine","Tim Hunt",2001,58
"Medicine","Sir Paul M. Nurse",2001,52
"Peace","United Nations (U.N.)",2001,NA
"Peace","Kofi Annan",2001,63
"Physics","Eric A. Cornell",2001,40
"Physics","Wolfgang Ketterle",2001,44
"Physics","Carl E. Wieman",2001,50
"Chemistry","John B. Fenn",2002,85
"Chemistry","Koichi Tanaka",2002,43
"Chemistry","Kurt Wüthrich",2002,64
"Chemistry","Kurt Wüthrich",2002,64
"Economics","Daniel Kahneman",2002,68
"Economics","Vernon L. Smith",2002,75
"Literature","Imre Kertész",2002,73
"Medicine","Sydney Brenner",2002,75
"Medicine","H. Robert Horvitz",2002,55
"Medicine","John E. Sulston",2002,60
"Peace","Jimmy Carter",2002,78
"Physics","Raymond Davis Jr.",2002,88
"Physics","Masatoshi Koshiba",2002,76
"Physics","Riccardo Giacconi",2002,71
"Chemistry","Peter Agre",2003,54
"Chemistry","Roderick MacKinnon",2003,47
"Chemistry","Roderick MacKinnon",2003,47
"Economics","Robert F. Engle III",2003,61
"Economics","Clive W.J. Granger",2003,69
"Literature","John M. Coetzee",2003,63
"Medicine","Paul C. Lauterbur",2003,74
"Medicine","Sir Peter Mansfield",2003,70
"Peace","Shirin Ebadi",2003,56
"Physics","Alexei A. Abrikosov",2003,75
"Physics","Vitaly L. Ginzburg",2003,87
"Physics","Anthony J. Leggett",2003,65
"Chemistry","Aaron Ciechanover",2004,57
"Chemistry","Avram Hershko",2004,67
"Chemistry","Irwin Rose",2004,78
"Economics","Finn E. Kydland",2004,61
"Economics","Finn E. Kydland",2004,61
"Economics","Edward C. Prescott",2004,64
"Economics","Edward C. Prescott",2004,64
"Literature","Elfriede Jelinek",2004,58
"Medicine","Richard Axel",2004,58
"Medicine","Linda B. Buck",2004,57
"Peace","Wangari Muta Maathai",2004,64
"Physics","David J. Gross",2004,63
"Physics","H. David Politzer",2004,55
"Physics","Frank Wilczek",2004,53
"Chemistry","Yves Chauvin",2005,75
"Chemistry","Robert H. Grubbs",2005,63
"Chemistry","Richard R. Schrock",2005,60
"Economics","Robert J. Aumann",2005,75
"Economics","Thomas C. Schelling",2005,84
"Literature","Harold Pinter",2005,75
"Medicine","Barry J. Marshall",2005,54
"Medicine","Barry J. Marshall",2005,54
"Medicine","J. Robin Warren",2005,68
"Peace","International Atomic Energy Agency (IAEA)",2005,NA
"Peace","Mohamed ElBaradei",2005,63
"Physics","Roy J. Glauber",2005,80
"Physics","John L. Hall",2005,71
"Physics","John L. Hall",2005,71
"Physics","Theodor W. Hänsch",2005,64
"Physics","Theodor W. Hänsch",2005,64
"Chemistry","Roger D. Kornberg",2006,59
"Economics","Edmund S. Phelps",2006,73
"Literature","Orhan Pamuk",2006,54
"Medicine","Andrew Z. Fire",2006,47
"Medicine","Craig C. Mello",2006,46
"Peace","Muhammad Yunus",2006,66
"Peace","Grameen Bank",2006,NA
"Physics","John C. Mather",2006,60
"Physics","George F. Smoot",2006,61
"Chemistry","Gerhard Ertl",2007,71
"Economics","Leonid Hurwicz",2007,90
"Economics","Eric S. Maskin",2007,57
"Economics","Roger B. Myerson",2007,56
"Literature","Doris Lessing",2007,88
"Medicine","Mario R. Capecchi",2007,70
"Medicine","Mario R. Capecchi",2007,70
"Medicine","Sir Martin J. Evans",2007,66
"Medicine","Oliver Smithies",2007,82
"Peace","Intergovernmental Panel on Climate Change (IPCC)",2007,NA
"Peace","Albert Arnold (Al) Gore Jr.",2007,59
"Physics","Albert Fert",2007,69
"Physics","Albert Fert",2007,69
"Physics","Peter Grünberg",2007,68
"Chemistry","Osamu Shimomura",2008,80
"Chemistry","Osamu Shimomura",2008,80
"Chemistry","Martin Chalfie",2008,61
"Chemistry","Roger Y. Tsien",2008,56
"Chemistry","Roger Y. Tsien",2008,56
"Economics","Paul Krugman",2008,55
"Literature","Jean-Marie Gustave Le Clézio",2008,68
"Medicine","Harald zur Hausen",2008,72
"Medicine","Françoise Barré-Sinoussi",2008,61
"Medicine","Luc Montagnier",2008,76
"Peace","Martti Ahtisaari",2008,71
"Physics","Yoichiro Nambu",2008,87
"Physics","Makoto Kobayashi",2008,64
"Physics","Toshihide Maskawa",2008,68
"Physics","Toshihide Maskawa",2008,68
"Chemistry","Venkatraman Ramakrishnan",2009,NA
"Chemistry","Thomas A. Steitz",2009,69
"Chemistry","Thomas A. Steitz",2009,69
"Chemistry","Ada E. Yonath",2009,70
"Economics","Elinor Ostrom",2009,76
"Economics","Elinor Ostrom",2009,76
"Economics","Oliver E. Williamson",2009,77
"Literature","Herta Müller",2009,56
"Medicine","Elizabeth H. Blackburn",2009,61
"Medicine","Carol W. Greider",2009,48
"Medicine","Jack W. Szostak",2009,57
"Medicine","Jack W. Szostak",2009,57
"Medicine","Jack W. Szostak",2009,57
"Peace","Barack H. Obama",2009,48
"Physics","Charles Kuen Kao",2009,76
"Physics","Charles Kuen Kao",2009,76
"Physics","Willard S. Boyle",2009,85
"Physics","George E. Smith",2009,79
"Chemistry","Richard F. Heck",2010,79
"Chemistry","Ei-ichi Negishi",2010,75
"Chemistry","Akira Suzuki",2010,80
"Economics","Peter A. Diamond",2010,70
"Economics","Dale T. Mortensen",2010,71
"Economics","Dale T. Mortensen",2010,71
"Economics","Christopher A. Pissarides",2010,62
"Literature","Mario Vargas Llosa",2010,74
"Medicine","Robert G. Edwards",2010,85
"Peace","Liu Xiaobo",2010,55
"Physics","Andre Geim",2010,52
"Physics","Konstantin Novoselov",2010,36
"Chemistry","Dan Shechtman",2011,70
"Economics","Thomas J. Sargent",2011,68
"Economics","Christopher A. Sims",2011,69
"Literature","Tomas Tranströmer",2011,80
"Medicine","Bruce A. Beutler",2011,54
"Medicine","Bruce A. Beutler",2011,54
"Medicine","Jules A. Hoffmann",2011,70
"Medicine","Ralph M. Steinman",2011,68
"Peace","Ellen Johnson Sirleaf",2011,73
"Peace","Leymah Gbowee",2011,39
"Peace","Tawakkol Karman",2011,32
"Physics","Saul Perlmutter",2011,NA
"Physics","Saul Perlmutter",2011,NA
"Physics","Brian P. Schmidt",2011,44
"Physics","Adam G. Riess",2011,42
"Physics","Adam G. Riess",2011,42
"Chemistry","Robert J. Lefkowitz",2012,69
"Chemistry","Robert J. Lefkowitz",2012,69
"Chemistry","Brian K. Kobilka",2012,57
"Economics","Alvin E. Roth",2012,61
"Economics","Alvin E. Roth",2012,61
"Economics","Lloyd S. Shapley",2012,89
"Literature","Mo Yan",2012,57
"Medicine","Sir John B. Gurdon",2012,79
"Medicine","Shinya Yamanaka",2012,50
"Medicine","Shinya Yamanaka",2012,50
"Peace","European Union (EU)",2012,NA
"Physics","Serge Haroche",2012,68
"Physics","Serge Haroche",2012,68
"Physics","David J. Wineland",2012,68
"Physics","David J. Wineland",2012,68
"Chemistry","Martin Karplus",2013,83
"Chemistry","Martin Karplus",2013,83
"Chemistry","Michael Levitt",2013,66
"Chemistry","Arieh Warshel",2013,73
"Economics","Eugene F. Fama",2013,74
"Economics","Lars Peter Hansen",2013,61
"Economics","Robert J. Shiller",2013,67
"Literature","Alice Munro",2013,82
"Medicine","James E. Rothman",2013,63
"Medicine","Randy W. Schekman",2013,65
"Medicine","Randy W. Schekman",2013,65
"Medicine","Thomas C. Südhof",2013,58
"Medicine","Thomas C. Südhof",2013,58
"Peace","Organisation for the Prohibition of Chemical Weapons (OPCW)",2013,NA
"Physics","François Englert",2013,81
"Physics","Peter W. Higgs",2013,84
"Chemistry","Eric Betzig",2014,54
"Chemistry","Stefan W. Hell",2014,52
"Chemistry","Stefan W. Hell",2014,52
"Chemistry","William E. Moerner",2014,61
"Economics","Jean Tirole",2014,61
"Literature","Patrick Modiano",2014,69
"Medicine","John O'Keefe",2014,75
"Medicine","May-Britt Moser",2014,51
"Medicine","Edvard I. Moser",2014,52
"Peace","Kailash Satyarthi",2014,60
"Peace","Malala Yousafzai",2014,17
"Physics","Isamu Akasaki",2014,85
"Physics","Isamu Akasaki",2014,85
"Physics","Hiroshi Amano",2014,54
"Physics","Shuji Nakamura",2014,60
"Chemistry","Tomas Lindahl",2015,77
"Chemistry","Tomas Lindahl",2015,77
"Chemistry","Paul Modrich",2015,69
"Chemistry","Paul Modrich",2015,69
"Chemistry","Aziz Sancar",2015,69
"Economics","Angus Deaton",2015,70
"Literature","Svetlana Alexievich",2015,67
"Medicine","William C. Campbell",2015,85
"Medicine","Satoshi Ōmura",2015,80
"Medicine","Youyou Tu",2015,85
"Peace","National Dialogue Quartet",2015,NA
"Physics","Takaaki Kajita",2015,56
"Physics","Arthur B. McDonald",2015,72
"Chemistry","Jean-Pierre Sauvage",2016,72
"Chemistry","Sir J. Fraser Stoddart",2016,74
"Chemistry","Bernard L. Feringa",2016,65
"Economics","Oliver Hart",2016,68
"Economics","Bengt Holmström",2016,67
"Literature","Bob Dylan",2016,75
"Medicine","Yoshinori Ohsumi",2016,71
"Peace","Juan Manuel Santos",2016,65
"Physics","David J. Thouless",2016,82
"Physics","F. Duncan M. Haldane",2016,65
"Physics","J. Michael Kosterlitz",2016,73
